ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_30137,Eidos-Theater,,Theater der bewegten Dinge ; Figurentheater,"Büchli, Elisabeth",Schöftland,,"Büchli, Elisabeth",AG,CH,x,,x,,a,(noch existent?),,,,,1 R <Sammelcouvert>,(2002)-
AC_30138,Figurentheater teaterra,,,?,Seon,,Seon,AG,CH,x,,x,,na,?,,,,,4 R <Sammelcouvert>,(1982)-(1982)
AC_30139,Cie les Héros Fourbus,,Marionettentheater,"Chevrolet, Danièle + Ruiz, José-Manuel",Sion/Sitten,,Sion,VS,CH,www.lesherosfourbus.com,,KTV,,a,2007-,,,,,x,x
AC_30140,Spiezer Puppenspieler,,,"Schneiter, Annerös + Reinhard, Christine + Allmen, Susanne von",Spiez,,Spiez,BE,CH,x,,x,,na,?,,,,,1 R <Sammelcouvert>,(1992)-
AC_30141,Figuren Theater St. Gallen,Figurentheater St. Gallen,,"Ryser, Tobias",St. Gallen,,St. Gallen: St. Galler Puppentheater,SG,CH,www.figurentheater-sg.ch,,x,,a,1903-,St. Galler Marionettentheater<ab 1956:> St. Galler Puppentheater <bis 2000>,,,,1 S,(1907)-
AC_30142,St. Galler Marionettentheater,,,"Scherrer, Hermann",St. Gallen,,St. Galler Puppentheater,SG,CH,x,,x,,na,?,,St. Galler Puppentheater,1903-1943,,x,x
AC_30143,St. Galler Puppentheater,,,"Hiller, Hans",St. Gallen,,St. Galler Puppentheater,SG,CH,x,,x,,na,?,St. Galler Marionettentheater,Figuren Theater St. Gallen,1956-?,,x,x
AC_30144,Spiel- und Puppentheater Schluchter,,,"Schluchter, Charli + Köhler, Beytrix + Wagner, Lilo",Thalwil,,Thalwil,ZH,CH,x,,x,,na,?,,,,,2 R <Sammelcouvert>,"(1975), 1979, (1985)"
AC_30145,"Figurentheater ""Am runde Egge""",,,"Pfister, Maria + Zbinden, Barbara",Thun,,Thun,BE,CH,x,,Unima,,a,?,,,,,1 R <Sammelcouvert>,(2006)-
AC_30146,Thuner Puppenspieler,,,?,Thun,,Thun,BE,CH,x,,x,,na,?,,,,,2 R <Sammelcouvert>,(1985)-
AC_30147,AniMuP,,,"Larocchia, Vincenzo + Heini, Esther",Thusis,,Thusis,GR,CH,x,,TASI         KTV,,a,?,,,,,1 R <Sammelcouvert>,(2014)-
AC_30148,Theater Fleisch + Pappe,,,"Bosshard, Kathrin",Trogen,,"Dicken, auch: Bosshard, Kathrin",AR,CH,www.fleischundpappe.ch,,x,,a,2000-,,,,,9 R <Sammelcouvert>,(2002)-
AC_30149,Figurentheater Clalüna,,,"Häfliger-Zeller, Claire",Turgi,,?,AG,CH,x,,Unima,,a,?,,,,,x,x
AC_30150,Puppentheater Roosaroos,Theater Roos und Humbel,,"Roos, Silvia und Stefan",Turgi <früher: Wohlen>,,Roos Silvia,AG,CH,www.roosundhumbel.ch,,assitej Unima      KTV,,a,1995-,Theater Roos und Humbel,,,,,
