ID_NR_Event,Name_Event,Name_Corporate_Body_Alias,Attribute_Byline_Description,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFLS_80,"""Das Walserschiff""",,Rheinwaldner Chronikspiel ;  1984,x,Splügen,,Splügen,GR,CH,,,,,na,1984,,,,,12 R <Sammelcouvert>,1984
EFLS_81,Open Opera,,,GFL,St. Gallen,,St. Gallen,SG,CH,x,,x,,na,1990-2012,,,,,1 C,(1989)-(2011)
EFLS_82,Tag des Jammers,,Helvetische Szenen aus Nidwalden 1798,x,Stans,,Stans,NW,CH,x,,x,,na,1998,,,,,1 C,1998
EFLS_83,Sommernacht-Festspiele,,Steckborn,x,Steckborn,,Steckborn,TG,CH,x,,x,,na,?,,,,,1 C,(1951)-(1960)
EFLS_84,Sommertheater Thun,Thuner Sommertheater,Freilichtoperetten,x,Thun,,Thun,BE,CH,x,,x,,na,?,,,,,1 C,(1952)-(1956)
EFLS_85,Thunerseespiele,,,GFL,Thun,,Thun (ZSV),BE,CH,www.thunerseespiele.ch,,x,,a,2003-,,,,,4 S,2003-
EFLS_86,Freilicht Viamala,,,x,Thusis,,Thusis (ZSV),GR,CH,x,,x,,na,2003?,,,,,,
EFLS_87,Freilichtspiele Zürcher Oberland,,,x,Uster,,Uster,ZH,CH,http://freilichtspiele-zo.ch,,x,,a,?,,,,,,
EFLS_88,Schloss Spiele Landshut,Schlossspiele Landshut; Freilicht-Theater Schloss Landshut; Schlossspiele Utzenstorf,,x,Utzenstorf,,Utzenstorf: Freilicht-Theater Schloss Landshut (ZSV),BE,CH,www.schlossspiele-landshut.ch,,x,,a,,,,,,,
EFLS_89,Treffen der Freilichttheater,,2010,x,Uznach,,Uznach (ZSV),SG,CH,x,,x,,na,2010,,,,,,
EFLS_90,Parc de la Mairie de Vandɶuvre,,,x,Vandœuvre,,Vandœuvre,,CH,x,,x,,a,?,,,,,3 R <Sammelcouvert>,"(2001), 2008, 2014"
EFLS_91,Operette Visp,,,x,Visp,,Visp,VS,CH,x,,x,,na,?,,,,,2 R <Sammelcouvert>,"(1979), (1986)"
EFLS_92,Walensee-Bühne,Seebühne Walenstadt,,GFL,Walenstadt,,Walenstadt: Seebühne (ZSV),SG,CH,www.walenseebuehne.ch,,x,,a,2004-,,,,,,
EFLS_93,Klosterspiele Wettingen,,,GFL,Wettingen,,Wettingen (ZSV),AG,CH,www.klosterspiele.ch,,x,,a,2004?-,,,,,,
