ID_NR_Event,Name_Event,Name_Corporate_Body_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFS_46,Fête du blé et du ain,,1978 ; 1998,Echallens,,Echallens,VD,CH,x,,na,"1978, 1998",,,,,12 R <Sammelcouvert>,"(1996), 1997, 1998"
EFS_47,"<Festspiel ""Pierres de sang"": la prise d'Estavayer, 1475>",,1994,Estavayer-le-lac,,"Estavayer-le-Lac: ""Pierres de sang""",FR,CH,x,,na,1994,,,,,10 R <Sammelcouvert>,1994
EFS_48,"<Festspiel ""Füür & Flammä"">",,"Flums, Mels und Sargans 1250-Jahr-Feier",Flums,,"Sargans: ""Füür & Flammä"" (ZSV)",SG,CH,x,,na,2015,,,,,,
EFS_49,<Festspiel Schaffhausen 450-Jahrfeier>,,1951,Schaffhausen,,Schaffhausen: Schaffhausen 450-Jahrfeier,SH,CH,x,,na,1951,,,,,1 C,1951
EFS_50,Bundesfeierspiel 1941,,1941,Schwyz,,Schwyz (ZSV),SZ,CH,x,,na,1941,,,,,,
EFS_51,Mythenspiel 700-Jahrfeier-Festspiel,,1991,Schwyz,,Schwyz,SZ,CH,x,,na,1991,,,,,1 C,"(1987)-(1992), 2001"
EFS_52,Passionsspiel Carnot,,1933,Fribourg,,Fribourg: Festspiele,FR,CH,x,,na,1933,,,,,1 C,1933
EFS_53,"<Festspiel ""Mon Pay"">",,Eidgenössisches Schützenfest ; 1934,Fribourg,,Fribourg: Festspiele: Mon Pay ,FR,CH,x,,na,1934,,,,,1 C,1934
EFS_54,Jeu du noir et du blanc,,1955,Fribourg,,Fribourg: Festspiele,FR,CH,x,,na,1955,,,,,1 C,1955
EFS_55,"<Festspiel 500-Jahre:""Terre de Fribourg"">",,,Fribourg,,"Fribourg: Festspiele: 500-Jahre (""Terre de Fribourg"")",FR,CH,x,,na,1981,,,,,1 C,1981
EFS_56,GE 200 - Bicentenaire,,L'Entrée de Genève dans la Confédération Suisse,Genève,,Genève,GE,CH,www.ge.ch/site/ge200,,na,2014,,,,,1 C,2014-2015
EFS_57,Calvin Genève en flammes,,"Calvin, un itinéraire",Genève,,Genève: Calvin 09,GE,CH,x,,na,"2009, 2010",,,,,x,x
EFS_58,Escalade de Genève,,,Genève,,Genève: Escalade,GE,CH,www.https://live.escalade.ch,,a,"1941, 1954, 1989, 1996, 2002",,,,,1 C,"1941, 1954, 1989, 1996, 2002"
EFS_59,Wagner Geneva Festival,Festival Wagner,Bicentenaire Richard Wagner ; 2013,Genève,,Genève: Festival Wagner,GE,CH,x,,na,2013,,,,,1 C,2013
EFS_60,<Festspiel Dunant 2010>,,2010,Heiden,,Heiden: Dunant 2010,AR,CH,x,,na,2010,,,,,3 R <Sammelcouvert>,2010
EFS_61,"<Festspiel ""Hemmental dur d'Johrhundert"">",Hämedall dur d'Johrhondert,Hemmental 900-Jahr-Feier ; 1990,Hemmental,,Hemmental: Hemmental 900-Jahr-Feier (ZSV),SH,CH,x,,na,1990,,,,,,
EFS_62,"<Festspiel Hilfikon: Chrüüz und Fähne, 1712 - eine Schlacht in Gottes Namen>",,Freilichtaufführung zum 300. Jahrestag des Zweiten Villmergerkrieges ; 2012,Hilfikon,,Hilfikon:SzeneFreiamt (ZSV),AG,CH,x,,na,2012,,,,,,
EFS_63,"<Festspiel Tausendjahrfeier Horgen: ""De Fridemacher"">",,1952,Horgen,,Horgen: Festspiel Tausendjahrfeier (ZSV),ZH,CH,x,,na,1952,,,,,,
EFS_64,"<Festspiel in Hundwil: 500-Jahre Appenzell  ""Der dreizehnte Ort"")",,2013,Hundwil,,Hundwil: Festspiel in Hundwil (ZSV),AG,CH,x,,a,2013,,,,,,
EFS_65,Tellspiele Interlaken,Tell Freilichtspiele Interlaken,,Interlaken (Matten),,Interlaken,BE,CH,www.tellspiele.ch,,a,1912- <Unterbrüche 1. u. 2. Weltkrieg>,,,,,1 C,"(1932), 1937, 1938, 1945, 1947, 1948, 1951, 1952, 1954-1960, 1962, 1966, 1968, 1970-"
EFS_66,Unspunnen Festspiel,,1968,Interlaken,,Interlaken (ZSV),BE,CH,x,,na,1968,,,,,x,x
EFS_67,Festspiel 700 Jahre Kestenholz,,2012,Kestenholz,,Kestenholz (ZSV),SO,CH,www.kestenholz.ch/de/700_jahr_jubilaeum,,na,2012,,,,,,
EFS_68,Festspiel Kirchberg 1994,,1994,Kirchberg,,Kirchberg (ZSV),BE,CH,x,,na,1994,,,,,,
EFS_69,Festspiele Königsfelden,Königsfelder Festspiele,,Königsfelden,,Königsfelden,AG,CH,x,,na,1973-2000,,Tanz & Kunst,,,3 C,1973-2000
EFS_70,Expo 1964,Expo 64; Exposition nationale Suisse de 1964; Schweizerische Landesausstellung 1964,,Lausanne,,Lausanne,VD,CH,x,,na,1964,,,,,1 C (St. Galler-Tag)  1 C (Diverses),1964
EFS_71,"<Bräkerspiele 1998, 1999>",,1998 ; 1999,Lichtensteig,,Lichtensteig,SG,CH,x,,na,"1998, 1999",,,,,1 C,"1998, 1999"
EFS_72,"<Festspiel Liestal 800 Jahre: ""E Poetenäscht"">",,1989,Liestal,,Liestal: Liestal Festspiel 800 Jahre,BL,CH,x,,na,1989,,,,,?,?
EFS_73,Festspiele Luzern,,1942-1945,Luzern,,Luzern: Luzerner Spielleute (ZSV),LU,CH,x,,na,1942-1945,,,,,,
EFS_74,Festspielgemeinde,,Projekt für Festspiele 1935,Luzern,,Luzern (nicht ZSV) <ab 1935 siehe Luzern: Luzerner Spielleute>,LU,CH,x,,na,?,,,,,1 C,(1932)-(1934)
EFS_75,Passionsspiele Luzern,,Projekt ; 2011-2013,Luzern,,Luzern,LU,CH,x,,na,2011-2013,,,,,1 C,2011-2013
EFS_76,<Festspiel Schützenfest Luzern 1939>,,1939,Luzern,,Luzern,LU,CH,x,,na,1939,,,,,1 C,"(1934), 1939"
EFS_77,Weinmarktspiele,,1978,Luzern,,Luzern,LU,CH,x,,na,1978,,,,,1 C,1978
EFS_78,"<Festspiel 1000 Jahr Jubiläum Lyss: 2Jedermann"">",,2009,Lyss,,Lyss: 1000 Jahr Jubiläum Lyss (ZSV),BE,CH,x,,na,2009,,,,,,
EFS_79,Oh! Festival,Oh! Festival,"Marché du spectacle Vitrine des arts vivants suisses et internationaux en Valais ; Ein Schaufenster für nationale und internationale darstellende Kunst im Wallis ; 2015",Monthey,,CH: Einz. Reg.: Kt. Wallis,VS,CH,www.ohfestival.ch,,na,2015,,,,,,
EFS_80,Osterspiel Muri,,,Muri AG,,Muri AG,AG,CH,x,,na,?,,,,,1 C,"1958, 1960, 1968, 1969, 1970, 1971"
EFS_81,"<Festspiel Murtenschlacht ""1476"">",,2014,Murten,,Murten: Freilichtspiele Murten (ZSV),BE,CH,www.1476.ch,,na,2014,,,,,,2014
EFS_82,"<Festspiel ""Helvetische Revolution"" 1798>",,2016,Murten,,Murten: Freilichtspiele Murten (ZSV),BE,CH,www.helvetische-revolution.ch,,na,2016,,,,,,2016
EFS_83,"<Festspiel Muttenz ""Der Schatz"">",, 1200-Jahr-Feier ; 1993,Muttenz,,Muttenz,BL,CH,x,,na,1993,,,,,5 R <Sammelcouvert>,1993
EFS_84,<Festspiel Freulerpalast  1942>,,1942,Näfels,,Näfels: Freulerpalast Festspiel 1942,GL,CH,x,,na,1942,,,,,11 R <Sammelcouvert>,1942
EFS_85,"<Festspiel 650-Jahr-Feier ""Nicolas de Flue"" 1941>",,1941,Neuchâtel,,"Neuchâtel: 650-Jahr-Feier (""Nicolas de Flue"")",NE,CH,x,,na,1941,,,,,1 C,1941
EFS_86,<Festspiel Liberté 1812 Neuenegg>,,2016,Neuenengg,,Neuenegg: Liberté 1812 Neuenegg,BE,CH,www.stationentheater-1812-neuenegg.ch,,na,2016,,,,,1 R,2016
EFS_87,Morgarten-Freilichtspiel 2015,Morgarten-Spektakel,2015,Oberägeri,,Oberägeri,ZG,CH,www.morgartenspektakel.ch,,na,2015,,,,,5 R <Sammelcouvert>,2015
EFS_88,Festspiel Oberburg,,2002,Oberburg,,Oberburg (ZSV),BE,CH,x,,na,2002,,,,,,
EFS_89,<Oberhofner Bilderspiel 850 Jahre Oberhofen>,,,Oberhofen,,Oberhofen; 850 Jahre Oberhofen (ZSV),BE,CH,x,,na,1983,,,,,,1983
EFS_90,<Theaterprojekt 100-Jahre-Landesstreik 2018>,<Theaterprojekt 100-Jahr-Feier Generalstreik>,Theaterprojekt ; 2018,Olten,,Olten: 100-Jahre-Landesstreik,SO,CH,www.generalstreik.ch,,pen,2018,,,,,1 C,(2015)-
