ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Bod_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_41395,Atelier Theater Meilen,ATM,inkl. Operella,Meilen ,,Meilen <Operella Separatablage>,ZH,CH,www.ateliertheater-meilen.ch,,RVA,a,1993-,"Atelier-Theater Heubühne, Feldmeilen",,,,,
AC_41396,La Scaletta Feldmeilen,,Die Junge Bühne des Atelier Theaters,Meilen,,Meilen,ZH,CH,www.ateliertheater-meilen.ch,,RVA,a,?,,,,,,
AC_41397,Theatergruppe Bergmeilen,,,Meilen,,Meilen,ZH,CH,www.theater-bergmeilen.ch,,x,a,?,,,,,,
AC_41398,Théâtre Les Trois Coups,Ste Littéraire les 3 Coups,Compagnie théâtrale de Meinier,Meinier,,Meinier <nicht ZSV>,GE,CH,www.les-3-coups.ch,,FSSTA,a,?,,,,,x,x
AC_41399,Freilichtspiele Oberhasli,,,Meiringen,,Meiringen,BE,CH,x,,x,na,?,,,,,,1934-1960
AC_41400,Glinggige,,Theatergruppe,Meiringen,,Meiringen,BE,CH,www.glinggige.ch,,x,a,2006-,,,,,,
AC_41401,<Theatergruppe Trachtengruppe Oberhasli>,,,Meiringen,,Meiringen: Trachtengruppe Oberhasli,BE,CH,x,,Amathea,a,?,,,,,,
AC_41402,Melliger Spiellüüt,,,Mellingen,,Mellingen,AG,CH,www.melliger-spielluet.ch,,x,a,1997-,,,,,,
AC_41403,<Theatergruppe Trachtengruppe Mels>,,,Mels,,Mels: Trachtengruppe Mels,SG,CH,www.trachtengruppe-mels.com,,x,a,?,,,,,,
AC_41404,Gruppo Teatrale del Liceo di Mendrisio,,,Mendrisio,,Mendrisio <nicht ZSV>,TI,CH,www.liceomendrisio.ti.ch,,FFSI,a,?,,,,,1 R <Sammelcouvert>,x
AC_41405,Atelier Mimo,,Ospedale Neuropsichiatrico di Mendrisio,Mendrisio,,Mendrisio <nicht ZSV>,TI,CH,x,,x,na,1971-?,,,,,7 R <Sammelcouvert>,(1981)-(1994)
AC_41406,Compagnia Comica dialettale di Menrisio,,,Mendrisio,,Mendriso <nicht ZSV>,TI,CH,www.compagniacomica.ch,,x,na,1972-?,,,,,1 C,(1984)-
AC_41407,Compagnia teatro dialettale e arti visive,,,Novazzano,,Mendrisio: Compagnia comica dialettale di Mendrisio <nicht ZSV>,TI,CH,www.compagniacomica.ch,,x,a,?,Compagnia comica dialettale di Mendrisio,,,,1 C,(1984)-
AC_41408,Freilichtspiel Menzberg,,,Menzberg,,Menzberg,LU,CH,x,,x,a,?,,,,,,
AC_41409,Theatervereinigung Menzingen,,,Menzingen,,Menzingen,ZG,CH,www.theatermenzingen.ch,,RZV,a,1950-,,,,,,
AC_41410,<Theatergruppe Trachtengruppe Menznau>,,,Menznau,,Menznau: Trachtengruppe Menznau,LU,CH,x,,x,a,(noch existent?),,,,,,
AC_41411,Drachendurst Theaterproduktion,,,Merlingen,,Merlingen,BE,CH,x,,x,a,(noch existent?),,,,,,
AC_41412,Theatergruppe Durachtal,,,Merishausen,,Merishausen,SH,CH,www.theatergruppedurachtal.ch,,VOV,a,2005-,,,,,,
AC_41413,Theaterverein Merzligen,,,Merzligen,,Merzligen,BE,CH,x,,Amathea,a,?,,,,,,
AC_41414,Heubühne,,,Messen,,Messen,SO,CH,x,,x,a,?,,,,,,
AC_41415,Mettembert sur Scène,,,Mettembert,,Mettembert <nicht ZSV>,JU,CH,x,,FSSTA,a,?,,,,,3 R <Sammelcouvert>,"(2001), 2014"
AC_41416,VolksTheater im Amt,,,Mettmenstetten,,Mettmenstetten,ZH,CH,x,,x,a,?,,,,,,
AC_41417,Le Madrigal,,,Mézières FR,,Mézières FR <nicht ZSV>,FR,CH,www.madrigaldujorat.ch,,FSSTA,a,?,,,,,x,x
AC_41418,Gruppo Teatrale Mezzovico,Gruppo Teatrale di Mezzovico,,Mezzovico,,Mezzovico <nicht ZSV>,TI,CH,x,,FFSI,a,?,,,,,2 R <Sammelcouvert>,"(2004), 2008"
AC_41419,Theatergruppe Chrut u Chabis,,,Milken,,Milken,BE,CH,x,,x,a,?,,,,,,
AC_41420,I Comediant da Minüs,,,Minusio,,Minusio <nicht ZSV>,TI,CH,x,,FFSI,a,?,,,,,1 R <Sammelcouvert>,(2013)-
AC_41421,<Theatergruppe Männerchor Mittelhäusern>,,,Mittelhäusern,,Mittelhäusern: Männerchor Mittelhäusern,BE,CH,x,,x,a,?,,,,,,
