ID_NR_Event,Name_Event,Name_Event_Alias,Attribute_Byline_Description,Veranstalter,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFES_429,Quinzaine culturelle romande,,,x,FES,Zürich,,Zürich: MGB,ZH,CH,x,,x,,na,?,,,,,1 R <Sammelcouvert>,(1986)-(1986)
EFES_430,Schweizer Modewoche,,"Modetheater, -cabaret",x,FES,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,1942-1944
EFES_431,Scènes Romandes,,,x,FES,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1991)-(1991)
EFES_432,Schläck Theater für Chind ,,,x,x,Zürich,,Zürich,ZH,CH,x,,x,,na,1984,,,,,2 R <Sammelcouvert>,1984
EFES_433,Sommerfestival 2001,,im Theater 11 ; Umbau Corso,x,FES,Zürich,,Zürich,ZH,CH,x,,x,,na,2001,Corso,Corso,,,1 C,2001
EFES_434,Sommer Theaterfest,Sommer Theater Fest,,,FES,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,5 R <Sammelcouvert>,(1996)-(1996)
EFES_435,Stand Up! Comedy Show,,,Bernhard Theater,FES VOK,Zürich,,Zürich: Bernhard Theater,ZH,CH,https://stand-up.ch,,x,,a,?,,,,,x,x
EFES_436,Spunk Zürcher Impro-Theater Festival,,,theater anundpfirsich,FES,Zürich,,Zürich,ZH,CH,www.improtheaterfestival.ch,,x,,a,?,,,,,x,x
EFES_437,Stromereien,,Performance-Festival,Stromereien,FES TFS,Zürich,,Zürich,ZH,CH,www.stromereien.org,,x,,a,2001?,,,,,1 C,(2003)-(2014)
EFES_438,Take That,,Festival,Gessnerallee ; Tanzhaus Zürich ; Rote Fabrik,FES,Zürich,,Zürich: Gessnerallee und Zürich: Tanzhaus Zürich und Zürich: Rote Fabrik,ZH,CH,x,,x,,a,?,,,,,x,x
EFES_439,Tango-Woche,Zürcher Tangowoche,,x,FES STT,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(2004)-(2006)
EFES_440,Tanzfenster Zürich,,,x,FES STT,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,"(2000), (2002)"
EFES_441,Tanzströmungen,,,x,FES STT,Zürich,,Zürich,ZH,CH,x,,x,,na,2003-?,,,,,1 C,2003
EFES_442,Volts- & Visions-Festival,,Film- und Theaterspektakel,x,FES,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,2000
EFES_443,Warmer Mai,,lesbisch-schwules Kulturfestival,x,FES,Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,"(2001), (2005, (2008)"
EFES_444,Yeah Yeah Yeah,,Internationales Zürcher Tanzfestival ,Farbiktheater (Rote Fabrik),FES STT,Zürich,,Zürich: Rote Fabrik,ZH,CH,www.yeahyeahyeah.ch,,x,,a,?,,,,,x,x
EFES_445,Zürcher Amateur-Theaterfestival,Amateur-Theaterfestival Zürich,,,FES ATV,Zürich,,Zürich (ZSV),ZH,CH,x,,x,,na,1980,,,,,,1980
EFES_446,Zürcher Restspiele,,Festival der Freien Zürcher Theater-Szene,Farbiktheater (Rote Fabrik),FES TFS,Zürich,,Zürich: Rote Fabrik,ZH,CH,x,,x,,a,?,,,,,1 R <Sammelcouvert>,(2012)-(2012)
EFES_447,Zürcher Theaterspektakel,(Zürcher Theater Spektakel,,Zürcher Theaterspektakel,FES,Zürich,,Zürich,ZH,CH,www.theaterspektakel.ch,,x,,a,1980-,,,,,13 S,1980-
EFES_448,Zürich Comic-Festival,,,x,x,Zürich,,Zürich: Zürich Comic-Festival,ZH,CH,x,,x,,na,1994-?,,,,,1 C,1994
EFES_449,Zürich moves,,Festival for Contemporary Dance,?,FES STT,Zürich,,Zürich,ZH,CH,www.zurichmoves.com,,Premio,,a,2012-,,,,,1 C,(2014)-
EFES_450,Zürich tanzt,,Festival,?,FES STT,Zürich,,Zürich,ZH,CH,www.zuerichtanzt.ch,,x,,a,2006 (Tanzfest)-,,,,,1 C,(2013)-
EFES_451,Züri lacht,,Comedy Festival,?,FES VOK,Zürich,,Zürich <2003ff vgl. Miller's Studio>,ZH,CH,www.comedy.ch,,,,a,1995?-,,,,,1 C,(1996)-(2008)
EFES_452,Pas de problème <Festival>,,afroschweizerisches Kulturfestival,Pas de problème,FES,Zürich (Schwamendingen) <später verschiedene Orte>,,Zürich: Ziegelhütte,ZH,CH,www.pasdeprobleme.org,,x,,a,2013-,,,,,x,x
EFES_453,Das Tanzfest,Fête de la danse; Festa danzante,,?,FES STT,Zürich u.a.,,CH: Grundsätzliches: Das Tanzfest (Doubletten unter einz. Orte),x,CH, www.dastanzfest.ch ; www.fetedeladanse.ch,,x,,a,?,,,,,1 C,(2010)-
EFES_454,Lilibiggs Kinder Festivals,,,?,FES STK,Zürich u.a.,,CH: Grundsätzliches: Tourneen: Lilibiggs,x,CH,www.lilibiggs-kinder-festivals.ch,,x,,a,?-2015?,,,,,1 C,(2013)-
EFES_455,Tanzfestival Steps,,Tanzfestival Migros-Kulturprozent,Steps (Tanzfestival),FES STT,Zürich u.a.,,Zürich: MGB,x,CH,www.steps.ch,,x,,a,1988-,,,,,x,x
EFES_456,Tanzfaktor interregio,,,Reso - Tanznetzwerk Schweiz,FES STT,Zürich u.a.,,Zürich,x,CH,www.tanzfaktor.ch,,x,,a,,Tanz>faktor ,,,,x,x
EFES_457,Kulturtage Zurzach,,,x,FES,Zurzach,,Zurzach,AG,CH,www.kulturtage-badzurzach.ch,,x,,a,?,,,,,3 R <Sammelcouvert>,"(2005), 2012, "
EFES_458,Tanznovember,,,x,FES STT,Basel ; Bern ; Genève ; Lausanne ; Zürich u.a.,,"Bern, Genève, Lausanne, Zürich: Tanz <siehe auch Liestal>",ZH,CH,x,,x,,na,"1985-1988, 1991",,,,,1 R <Sammelcouvert>(Basel) 1 C (Bern)    1 C (Genève)  1 C (Lausanne)  2 R <Sammelcouvert> (lugano) 2 R Sammelcouvert (Winterthur) 4 C (Zürich),"(1991) (Basel) 2000  (Bern) 1991 (Genève)   1987, 1988 (Lausanne) 1987 (Lugano) 1988 (Winterthur) 1985, 1986, 1987, 1988 (Zürich)"
EFES_459,Blickfelder <Theaterfestival>,,,?,FES STK,Zürich ; Bern ; Basel ...,,"Zürich, Bern, Basel ...","Z;, BE; BS; u.a.",CH,http://blickfelder.ch,,x,,a,1992 (1. Ausgabe),,,,,2 S (Zürich)  1 C (Basel),"1992- (Zürich)  (2000), (2002) (Basel)"
EFES_460,Ruhrtriennale,,,,FES,<verschiedene Orte>,,D: Einz. Reg: NRW,x,D,www.ruhrtriennale.de,,,,,,,,,,,
