Bemerkungen,Drucker,Grafiker,Masse,Plakatart,RepertorienID,Signatur,Technik,tempID,Verso
,,Roger Pfund,48.7 x 34.8 cm,Stückplakat,100021984032001,PL 002.188,Offsetdruck,111,
,,,50.0 x 35.0 cm,Spielplanplakat,900011941123101,PL 002.191,Buchdruck,112,
,"Imprimerie A. Groux, Lausanne",,50.3 x 35.3,Stückplakat,100021984042401,PL 002.192,Offsetdruck,113,
,P.A. Deville,Groux Lausanne,50.4 x 35.4 cm,Stückplakat,100021984011701,PL 002.193,Offsetdruck,114,
,Groux Lausanne,P.-A Deville,50.0 x 34.8 cm,Stückplakat,100021983101801,PL 002.194,Offsetdruck,115,
300. Geburtstag von Georg Friedrich Händel,,,49.5 x 33.2 cm,Stückplakat,300011985111701,PL 002.198,Offsetdruck,116,
,Groux Lausanne,,50.0 x 35.3 cm,Stückplakat,100021986100601,PL 002.199,Offsetdruck,117,
,,,50.0 x 34.8 cm,Stückplakat,900011966111901,PL 002.200,Buchdruck,118,
,"Groux, Lausanne",,"50,0 x 35,0 cm",Stückplakat,100052000110701,PL 003.001,Offsetdruck,119,
Verlängerung 12.1./ 10.2. 2000,"Groux, Lausanne",,"50,0 x 35,0 cm",Stückplakat,100052000110701,PL 003.002,Offsetdruck,120,
,,,52.4 x 29.7 cm,Stückplakat,300021997041201,PL 003.008,Fotokopie,121,
,,Vetsch,50.0 x 29.8 cm,Stückplakat,80009nodate01,PL 003.010,Buchdruck,122,
,EOG.Albrecht,,50.0 x 30.0 cm,Stückplakat,800091953120401,PL 003.012,Buchdruck,123,
,"Groux, Lausanne",,48.8 x 35.0 cm,Stückplakat,100051979050301,PL 003.017,Offsetdruck,124,
Prod. Truppe: Fribourg: Cabaret Chaud 7,"Groux, Lausanne",,"50,0 x 35,0 cm",Stückplakat,100051980012201,PL 003.018,Offsetdruck,125,
,"A.Groux, Lausanne",,43.0 x 34.5 cm,Stückplakat,100051980031801,PL 003.019,Offsetdruck,126,
