ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Typ,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G,
AC_110025,TraumRaum,,Animationszirkus,Biel (provisorische Ablage),,nicht unter Zirkus!,,BE,CH,x,,x,a,(noch existent?),,,,,1 R <Sammelcouvert>,(2005)-(2005),
AC_110026,Zirkus Stey,,,Bonau,,Zirkus: Vereinzelte A-Z: Zürich,Zirkus,TG,CH,www.zirkus-stey.ch,,x,a,1437-,,,,,1 C,(1976)-,1437 erstmals erwähnt!
AC_110027,Zirkus Arabas,,,Bremgarten,,Zirkus: Diverse A-Z: Bremgarten,Kinderzirkus,AG,CH,x,,x,a,(noch existent?),,,,,3 R <Sammelcouvert>,(2002)-,
AC_110028,Kinderzirkus Bajazzo,,,Brienz,,Zirkus: Diverse A-Z: Brienz,Kinderzirkus,BE,CH,x,,x,a,(noch existent?),,,,,3 R <Sammelcouvert>,(2010)-,
AC_110029,Circus Helvetia (bereinigen mit Cirque Helvetia) (unter Moudon),,,Bussigny/Gimel,,Zirkus: Vereinzelte A-Z: Bussigny,Zirkus,VD,CH,,,x,a,1950er Jahre,,,,,1 C,(1984-),
AC_110030,Lollypop,,Circus,Chur,,Zirkus: Diverse A-Z: Chur,Zirkus,GR,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,(2004)-,
AC_110031,Cirque Pajazzo,Circus Pajazzo,,Corcelles,,noch nicht in STS,x,BE,CH,x,,x,a,,,,,,noch nicht in STS,noch nicht in STS,
AC_110032,Arc en Cirque,,,Delémont,,Zirkus: Diverse A-Z: Delémont,Kinderzirkus,JU,CH,x,,x,na,,,,,,4 R <Sammelcouvert>,"(2001), (2002)",
AC_110033,Olympa,Circus Gasser - Olympia,,Derendingen,,Zirkus: Vereinzelte A-Z: Derendingen,Zirkus,SO,CH,x,,x,na,1966-2005,,Circus Go,,,1 C,(1966)-2005,
AC_110034,Circus Ohlala,,Liebescircus,Dübendorf,,Zirkus: Vereinzelte A-Z: Dübendorf,Variétézirkus,ZH,CH,www.circusohlala.ch,,x,a,?,,,,,1 C,(2011)-,
AC_110035,Circus Popcorn,,,Erlach,,Zirkus: Diverse A-Z: Erlach (?),x,BE,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,(2005)-,
AC_110036,Circus Medrano,,,Frauenfeld,,Zirkus: Vereinzelte A-Z: Frauenfeld,Zirkus,TG,CH,x,,x,na,1984-2007?,,,,,1 C,1978-(2007),
AC_110037,Zirkus Plättli,,,Frauenfeld,,Zirkus: Vereinzelte A-Z: Frauenfeld,x,TG,CH,x,,x,na,?,,,,,1 C,1969-(1985),
AC_110038,Zirkus Arena,,,Frenkendorf,,Zirkus Vereinzelte A-Z: Frenkendorf,x,BL,CH,x,,x,na,?,,,,,1 C,1984-?,
AC_110039,Cirque du Père Noël,,Pajazzo,Genève,,Zirkus: Vereinzelte A-Z: Genève,Weihnachtszirkus,GE,CH,x,,x,na,?,,,,,1 C,(1992)-(1998),
AC_110040,Cirquenchêne,,,Genève,,Zirkus: Diverse A-Z: Genève,Kinderzirkus,GE,CH,x,,x,na,?,,,,,2 R <Sammelcouvert>,(1992)-,
AC_110041,Cirque Ephémère,,,Genève,,Zirkus: Diverse A-Z: Genève,x,GE,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,(1989)-,
AC_110042,Le Cirque Renversé,,,Genève (Chêne-Bourg),,Zirkus: Diverse A-Z: Genève,Kleinzirkus,GE,CH,http://renvercirque.blogspot.ch,,x,a,2011-,,,,,1 R <Sammelcouvert>,(2014)-,
AC_110043,Théâtrecirqule,,,Genève,,Zirkus: Diverse A-Z: Genève,Kinderzirkus,GE,CH,x,,x,a,?,,,,,1 R <Sammelcouvert>,(1998)-,
AC_110044,Unefoisuncirque,Une Fois Un Cirque,,Genève (Confignon),,Zirkus: Diverse A-Z: Genève,Kinderzirkus,GE,CH,www.unefoisuncirque.ch,,x,a,1991-,,,,,1 R <Sammelcouvert>,(2014)-,
AC_110045,Walter Zoo Zirkus,,,Gossau SG,,Gossau SG,,SG,CH,www.walterzoo.ch,,x,a,?,,,,,1 R <Sammelcouvert>,(2004)-,
AC_110046,Circus Starlight,,,Porrentruy <früher: Hallau>,,Zirkus: Vereinzelte A-Z: Hallau,Zirkus,SH,CH,www.cirquestarlight.ch,,x,a,?,,,,,1 C,(1989)-,
AC_110047,Hinwiler Kinderzirkus,,,Hinwil,,Zirkus: Diverse A-Z: Hinwil,Kinderzirkus,ZH,CH,www.hikizi.ch,,x,a,?,,,,,2 R <Sammelcouvert>,"(2004), (2006)",
AC_110048,Circolino Pipistrello,,,Hombrechtikon,,Zirkus: Kinderzirkus: Hombrechtikon,Kinderzirkus,ZH,CH,www.pipistrello.ch,,assitej,a,1981-,,,,,1 C,(1983)-,
AC_110049,Cirqu'alors,,,La Chaux-de-Fonds,,Zirkus: Diverse: La Chaux-de-Fonds,Kinderzirkus,NE,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,(2001)-,
AC_110050,Circus Junior,Théâtre Circus Junior,,La Chaux-de-Fonds,,Zirkus: Kinderzirkus: La Chaux-de-Fonds: Junior,Kinderzirkus,NE,CH,x,,x,a,?,,,,,1 C,"(1995), (1997)",
AC_110051,Festival du Cirque,,,Lausanne,,Zirkus: Diverse A-Z: Lausanne,Zirkus,VD,CH,x,,x,na,?,,,,,10 R <Sammelcouvert>,(1998)-(1999),
