ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_22050,Fritz,Tanzcompany Fritz,Tanz,"Kramer, Cécile ; Dietlicher, Thomas",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 R <Sammelcouvert>,(1999)-(1999)
AC_22051,gangart,,,"Meito, Thorsten",Freienstein,,Zürich,ZH,CH,www.gang-art.ch,,x,,a,2006 (Verein)-,,,,,1 C,(2015)-(2015)
AC_22052,Gassers Verzehr-Theater,Gassers Verzehrtheater,,"Gasser, Frithjof ; Gasser, Marion",Zürich,,Zürich <siehe auch Clowns & Kalorien>,ZH,CH,x,,x,,na,,,,,,3 R <Sammelcouvert>,(2001)-(2002)
AC_22053,Gastspieltheater Zürich,,,"Kunz, Fredy ; Wild, Monika",Zürich,,Zürich,ZH,CH,x,,x,,na,1977-2012,,MärliMusicalTheater,,,1 S,1977-2012
AC_22054,Georg Keller Unternehmungen,GKU,,"Keller, Georg",Zürich,,Zürich,ZH,CH,www.georgkeller.org,,x,,a,?,,,,,1 C,(2014)-(2014)
AC_22055,Gessler Zwillinge,,,"Bisenz, Fritz ; Clamor, Jasmin",Zürich,,"Zürich <früheres siehe: Acapickels, späteres siehe: Hutzenlaub & Stäubli>",ZH,CH,x,,x,,na,2008-2013,,,,,1 C,(2009)-(2012)
AC_22056,Giacobbo/Müller Late Service Public,,,"Giacobbo, Viktor ; Müller, Mike",Zürich,,"Giacobbo, Victor",,CH,x,,x,,na,-2016,,,,,,
AC_22057,Gisela Rocha Company,,Tanz,"Rocha, Gisela ; Ronna, Giorgio",Zürich,,"Rocha, Gisela",ZH,CH,www.giselarocha.ch,,x,,a,1994-2009?,,,,,,
AC_22058,Glassstone Productions,,Tanz,"Rocha, Sonia ; Glaser, Roman",Zürch,,Zürich,ZH,CH,x,,x,,a,(noch existent?),,,,,2 R <Sammelcouvert>,(2014)-(2014)
AC_22059,Gloria Rigole ,,,"Gurtner, Michèle ; Camesi, Fiamma",Zürich ?,,Zürich,ZH,CH,,,x,,na,1998-2004,,,,,1 C,(2000)-(2003)
AC_22060,Glück,,freie Theatergruppe,"Brändli, Gregor ; Holliger, Jeremias ; Kubik, Lukas ; Mathis, Benjamin ; Moser, Victor",Zürich,,Zürich,ZH,CH,www.unserglueck.com,,x,,a,2012 (Erste Produktion)-,,,,,1 C,"2012, (2016)"
AC_22061,GMBH Gruppe mit beschränkter Haltbarkeit,GMBH-Produktion,,"Hottinger, Peter ; Zürcher, Martha",Zürich,,Zürich,ZH,CH,www.gmbh-produktion.ch,,x,,a,2007?-,,,,,x,x
AC_22062,Goldene Fenster,,,"Ulli, Hans-Peter ; Augustin, Izabel ; Bitterli, Dorotea ; Véya, Murielle",Zürich,,Zürich,ZH,CH,x,,x,,na,1989 (Erste Produktion)-?,,,,,1 C,1989
AC_22063,Goldfisch ,Compagnie Goldfisch,Compagnie,"Hafner, Marie-Anne ; Diener, Raphael",Zürich ?,,Winterthur,ZH,CH,x,,x,,na,,,,,,1 C,"(1999), 2001, (2002)"
AC_22064,Goldproduktionen,,Künstlerkollektiv,"Dür, Seraina ; Kappeler, Ueli ; Glauser, Christin u.a.",Zürich,,Zürich,ZH,CH,www.goldproduktionen.ch,,x,,a,?,,,,,1 R <Sammelcouvert>,(2008)-(2008)
AC_22065,Graf Hartwig zu Frei,,"Performance, Tanz","Graf, Leonie ; Hartwig, Benj ; Frei, Nicole",Zürich,,Zürich,ZH,CH,www.grafhartwigzufrei.com,,x,,a,?,,,,,x,x
AC_22066,Gruppe Engel,,,"Vogel, Marie-Isabel ; Altorfer, Erik ; Arioli, Ann-Marie u.a.",Zürich,,Zürich,ZH,CH,x,,x,,a,(noch existent?),,,,,1 C,(1997)-(2000)
AC_22067,GUB Company,Gubcompany,,"Rinderknecht, Christine ; Gubler, Heinz",Zürich,,Zürich,ZH,CH,www.gubcompany.com,,assitej,,a,2001-,Theater Bruchstein,,,,1 C,2001-(2012)
AC_22068,Guehne-Heinrichs ,,,"Gühne, Lina Antje ; Heinrichs, Uwe",Zürich,,"Zürich, z.T. auch: Zürich: Rote Fabrik",ZH,CH,x,,x,,na,(noch existent?),,,,,1 C,(2006)-(2006)
AC_22069,halsundbeinbruch Produktionen,,Tanz,"Lüthi, Cornelia ; Fletcher, Tim",Zürich,,Zürich,ZH,CH,x,,x,,a,2008 (Erste Produktion),,,,,2 R <Sammelcouvert>,(2013)-(2013)
AC_22070,Harul's International Swiss Comedy,Harul's Top Service,,"Ulrich, Hans-Ruedi ; Corver, Rolf ; Keel, Pia u.v.a",Rikon,,Zürich: Harul's Top,ZH,CH,www.haruls-comedy.ch,,x,,a,?,,,,,1 C,"(1989), 1994, 1996, (1997)"
AC_22071,Hegi-Theater,,,"Hegetschweiler, Emil u.a.",Zürich,,Zürich,ZH,CH,x,,x,,na,1946-?,,,,,1 C,(1943)-(1950)
AC_22072,Hengst & Hitzkopf,,,"Locher, Dominik ; Sternberg, Rahel ; Krstin, Timo u.a.",Zürich,,Zürich,ZH,CH,?,,x,,a,2012-,,,,,1 C,(2015)-
AC_22073,Hepp & Heuss,,Duo,"Hepp, Oliver ; Heuss, Stefan",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1995)-(1996)
AC_22074,herdeg&desponds,,Tanz und Theater,"Herdeg, Andrea ; Desponds, André",Zürich ?,,Zürich,ZH,CH,www.herdegdesponds.ch,,x,,a,2003-,,,,,x,x
AC_22075,Hirschtheater,Das Hirschtheater; Theater Hirsch,,"Veraguth, Hannes",Zürich ?,,Zürich,ZH,CH,x,,x,,na,?,,,,,1 C,(1997)-(1997)
AC_22076,HotAir Production,Hot Air Production,,"Valerius, Christian ; Vuillmiere, Maude ; Gygax, Jonas",Zürich,,Zürich,ZH,CH,www.hotairproduction.com,,x,,a,2011 (Erste Produktion)-,,,,,1 C,(2014)-(2014)
AC_22077,hrzklpfn,,,"Rohner, Eric Amton ; Marty, Ester",Zürich,,Zürich,ZN,CH,x,,x,,na,1987-?,,,,,1 C,(1988)-(1993)
AC_22078,Hund in Hose,,,"Brüesch, Barbara-David",Zürich,,Zürich <siehe auch: Zürich: Gessnerallee>,ZH,CH,x,,x,,na,2001 (Erste Produktion)-?,,,,,1 C,2001-(2004)
AC_22079,Hutzenlaub & Stäubli,,,"Bisenz, Fritz ; Clamor, Jasmin",Zürich,,Zürich,ZH,CH,www.hutzenlaubundstaeubli.ch,,KTV,,a,2013 (Erste Produktion)-,,,,,1 C,2013-
AC_22080,I Barcantori,,,"Peyer, Johannes u.a.",Zürich,,Zürich: I Barcantori,ZH,CH,x,,x,,na,?,,,,,1 C,(1993)-(2000)
AC_22081,I pelati delicati,,,"Bettini, Andrea ; Salerno, Basso ; Vetsch, Christian",Zürich,,Zürich: I pelati delicati,ZH,CH,www.pelati.ch,,x,,a,?,,,,,1 C,(2015)-
AC_22082, I Quatro,,Tenöre,"Aeberhard, Matthias ; Jäger, Simon ; Meier, Damian ; Widmer, Roger",Zürich,,Zürich: I Quattro,ZH,CH,x,,x,,a,?,,,,,1 R <Sammelcouvert>,(2012)-(2012)
AC_22083,Imbus-Theater,,,"Vogel, Eliane ; Gretler, Jeannine ; Davi, Theresa ; Guggenbühl, Kurt",Dübendorf,,Zürich,ZH,CH,x,,x,,na,?,Paprika Edelsüss,,,,1 C,(1996)-(1996)
AC_22084,Improtaxi,,Theatersport,x,Zürich,,Zürich,ZH,CH,x,,x,,a,x,,,,,2 R <Sammelcouvert>,"(2009), (2010)"
AC_22085,Improvenös,,,x,Baden <früher:Zürich>,,Zürich,ZH,CH,www.improvenös.ch,,x,,a,2004-,,,,,x,x
AC_22086,International Institute of Political Murder,IIPM,,"Rau, Milo",Zürich,,"Zürich <siehe auch: Rau, Milo>",ZH,CH,www.international-institute.de,,x,,a,2007-,,,,,1 C,(2009)-
AC_22087,Item Tanztheater,,,"Thoma, Christina ; Büchel, Tanja ; Fäh, Ingrid",Winterthur <früher: Zürich>,,Zürich,ZH,CH,x,,x,,na,2001-?,,,,,1 C,(2003)-(2005)
AC_22088,J & J,Jessica Huber & James Leadbitter,,"Huber, Jessica ; Leadbitter, James",Zürich,,Zürich,ZH,CH,www.jessicahuber.ch,,x,,a,2016-,,,,,1 C,2016-
AC_22089,Jersey and me,,Musiktheaterduo,"Vonder Mühll, Nora ; Mörikofer, Christoph",Zürich,,Zürich,ZH,CH,x,,x,,na,?,,,,,x,x
